#FamilyID	Likelihood of Family
OG0000229	-1.60249
OG0000230	-1.60249
OG0000231	-1.60249
OG0000232	-1.60249
OG0000233	-1.60249
OG0000234	-1.60249
OG0000235	-1.60249
OG0000236	-1.60249
OG0000237	-1.60249
OG0000238	-1.60249
OG0000239	-1.60249
OG0000240	-1.60249
OG0000241	-1.60249
OG0000242	-1.60249
OG0000243	-1.60249
OG0000248	-3.84208
OG0000249	-3.84208
OG0000250	-3.84208
OG0000251	-3.84208
OG0000252	-3.84208
OG0000253	-3.84208
OG0000254	-8.49061
OG0000255	-4.12473
OG0000256	-4.12473
OG0000257	-3.84208
OG0000258	-3.84208
OG0000259	-3.84208
OG0000260	-3.50392
OG0000261	-3.84208
OG0000262	-3.84208
OG0000263	-3.84208
OG0000264	-3.84208
OG0000265	-7.85924
OG0000266	-3.84208
OG0000267	-3.84208
OG0000268	-3.84208
OG0000269	-3.84208
OG0000271	-3.84208
OG0000272	-3.50392
OG0000273	-3.84208
OG0000274	-3.84208
OG0000275	-3.84208
OG0000276	-3.84208
OG0000277	-3.84208
OG0000278	-3.84208
OG0000279	-4.12473
OG0000280	-3.84208
OG0000281	-7.88108
OG0000282	-3.84208
OG0000283	-3.84208
OG0000284	-3.84208
OG0000285	-4.12473
OG0000286	-3.84208
OG0000287	-3.84208
OG0000288	-3.84208
OG0000289	-3.84208
OG0000290	-3.84208
OG0000291	-4.12473
OG0000292	-3.84208
OG0000293	-3.84208
OG0000294	-7.02705
OG0000295	-3.84208
OG0000297	-8.49061
OG0000298	-8.49061
OG0000299	-8.49061
OG0000300	-3.84208
OG0000301	-3.84208
OG0000302	-3.84208
OG0000303	-3.84208
OG0000304	-3.84208
OG0000305	-3.84208
OG0000306	-3.50392
OG0000307	-8.26258
OG0000308	-3.50392
OG0000309	-3.50392
OG0000310	-3.84208
OG0000311	-3.50392
OG0000312	-3.84208
OG0000313	-3.84208
OG0000314	-3.84208
OG0000315	-3.84208
OG0000316	-3.84208
OG0000317	-3.84208
OG0000318	-3.50392
OG0000319	-3.84208
OG0000320	-8.49061
